Map,Type,Index,Name,Description
,,,,
Hangar (E1M1),Mega Armor,13,"Nukage Pool","The acid pool outside",
Hangar (E1M1),Armor,68,"Lookout Tower","Lookout tower to the left of spawn",
Hangar (E1M1),Shotgun,98,"Closet","The secret area accessible from the ZigZag room",
,,,,
Nuclear Plant (E1M2),Chainsaw,4,"Chainsaw","On the pillar, in a secret area, with a view on the outside",
Nuclear Plant (E1M2),Shotgun,5,"Shotgun","spawn, straight, left, up the elevator",
Nuclear Plant (E1M2),Armor,20,"Armor","The secret at the spawn",
Nuclear Plant (E1M2),Supercharge,22,"Supercharge","Out side, in the middle",
Nuclear Plant (E1M2),Chaingun,25,"Chaingun","Outside, in the back",
Nuclear Plant (E1M2),Red keycard,41,"Red keycard","In the tower area where you can go outside",
Nuclear Plant (E1M2),Armor,43,"Armor","Across the room from spawn",
Nuclear Plant (E1M2),Mega Armor,53,"Mega Armor","Down the elevator near the exit",
Nuclear Plant (E1M2),Armor,119,"Armor","In Front of a secret in the maze",
Nuclear Plant (E1M2),Backpack,139,"Backpack","The secret area at the spawn",
Nuclear Plant (E1M2),Backpack,200,"Backpack","A secret in the maze",
,,,,
Toxin Refinery (E1M3),Armor,8,"Armor","Sewer secret area",
Toxin Refinery (E1M3),Supercharge,9,"Supercharge","Top of the pillard in dark room, secret area",
Toxin Refinery (E1M3),Yellow keycard,18,"Yellow keycard","In the diagonal structure",
Toxin Refinery (E1M3),Blue keycard,19,"Blue keycard","On the trap that turns off lights",
Toxin Refinery (E1M3),Shotgun,64,"Shotgun","Right at spawn",
Toxin Refinery (E1M3),Shotgun,77,"Shotgun","Beside the closed wall leading to sewer area",
Toxin Refinery (E1M3),Armor,85,"Armor","On elevator leader to ""locked"" sewer area",
Toxin Refinery (E1M3),Rocket launcher,107,"Rocket launcher","Sewer secret area",
Toxin Refinery (E1M3),Chaingun,109,"Chaingun","Sewer secret area, on elevator leaving secret area",
Toxin Refinery (E1M3),Backpack,112,"Backpack","Sewer secret area, near the button",
Toxin Refinery (E1M3),Supercharge,259,"Supercharge","Yellow door area",
Toxin Refinery (E1M3),Partial invisibility,260,"Partial invisibility","Yellow door area",
Toxin Refinery (E1M3),Chainsaw,261,"Chainsaw","Up the stairs in the secret area leading to yellow door",
Toxin Refinery (E1M3),Mega Armor,265,"Mega Armor","Yellow door area",
Toxin Refinery (E1M3),Armor,323,"Armor","After entering the blue door, right in front",
,,,,
Command Control (E1M4),Chaingun,11,"Chaingun","circular room in the middle",
Command Control (E1M4),Armor,39,"Armor","near the exit, yellow door",
Command Control (E1M4),Yellow keycard,61,"Yellow keycard","near the exit, yellow door. Overlooking the nukage",
Command Control (E1M4),Blue keycard,62,"Blue keycard","circular room in the middle",
Command Control (E1M4),Supercharge,63,"","Nukage canal exit elevator",
Command Control (E1M4),Rocket launcher,64,"Rocket launcher","Nukage canal exit area",
Command Control (E1M4),Mega Armor,100,"","Mezzanine, right path at start.",
Command Control (E1M4),Backpack,107,"Backpack","secret right at spawn, left wall",
Command Control (E1M4),Shotgun,129,"Shotgun","At start, middle path",
,,,,
Phobos Lab (E1M5),Blue keycard,4,"Blue keycard","Middle of top room",
Phobos Lab (E1M5),Yellow keycard,10,"Yellow keycard","",
Phobos Lab (E1M5),Mega Armor,11,"Mega Armor","Nukage secret left",
Phobos Lab (E1M5),Rocket launcher,60,"Rocket launcher","Nukage secret right",
Phobos Lab (E1M5),Shotgun,75,"Shotgun","Secret door behind barrels",
Phobos Lab (E1M5),Shotgun,83,"Shotgun","Nukage docks",
Phobos Lab (E1M5),Chainsaw,167,"Chainsaw","Secret leading to ouside",
Phobos Lab (E1M5),Supercharge,169,"Supercharge","Outside",
Phobos Lab (E1M5),Chaingun,173,"Chaingun","Secret area left of fake exit",
Phobos Lab (E1M5),Backpack,174,"Backpack","Secret area left of fake exit",
Phobos Lab (E1M5),Computer area map,176,"Computer area map","Secret area left of fake exit",
Phobos Lab (E1M5),Mega Armor,206,"Mega Armor","Horseshoe nukage",
Phobos Lab (E1M5),Shotgun,208,"Shotgun","Spawn, front",
Phobos Lab (E1M5),Armor,279,"Armor","Spawn, front left",
Phobos Lab (E1M5),Armor,280,"Armor","In the corner of the top room",
Phobos Lab (E1M5),Partial invisibility,282,"Partial invisibility","Pentagram",
,,,,
Central Processing (E1M6),Supercharge,4,"Supercharge","At the end of the diagonal nukage pool",
Central Processing (E1M6),Blue keycard,5,"Blue keycard","On the ledge, nukage pool behind",
Central Processing (E1M6),Red keycard,9,"Red keycard","Trap area at start, this one triggers the trap",
Central Processing (E1M6),Yellow keycard,10,"Yellow keycard","Window overseeing bridge, center",
Central Processing (E1M6),Partial invisibility,22,"Partial invisibility","Secret behind suit, second",
Central Processing (E1M6),Chaingun,23,"Chaingun","Trap area at start",
Central Processing (E1M6),Backpack,24,"Backpack","Secret behind suit, first",
Central Processing (E1M6),Rocket launcher,63,"Rocket launcher","Secret behind suit, third",
Central Processing (E1M6),Shotgun,64,"Shotgun","At spawn, left of you",
Central Processing (E1M6),Mega Armor,81,"Mega Armor","Jump in diagonal nukage pool, go hard left",
Central Processing (E1M6),Armor,82,"Armor","Door in front of spawn, go up stairs, right. Little computer area",
Central Processing (E1M6),Backpack,123,"Backpack","Window overseeing bridge, right",
Central Processing (E1M6),Computer area map,124,"Computer area map","Secret in blue area, pointed by pickups forming an arrow",
Central Processing (E1M6),Partial invisibility,131,"Partial invisibility","At the exit of the diagonal nukage pool secret",
Central Processing (E1M6),Armor,214,"Armor","Window overseeing bridge, left",
Central Processing (E1M6),Armor,291,"Armor","Near the exit, in front of the 3 stairs paths",
Central Processing (E1M6),Armor,381,"Armor","Secret across the bridge, left of spawn",
Central Processing (E1M6),Supercharge,392,"Supercharge","Outdoor, after nukage secret",
Central Processing (E1M6),Backpack,395,"Backpack","End of nukage secret, before the door",
,,,,
Computer Station (E1M7),Chaingun,18,"Chaingun","Pillar on bridge, jump in pool left. On sidewalk",
Computer Station (E1M7),Computer area map,20,"Computer area map","Pillar on bridge, right right, secret room there",
Computer Station (E1M7),Supercharge,21,"Supercharge","At pool's exit",
Computer Station (E1M7),Yellow keycard,25,"Yellow keycard","Start, Left, elevator, backroom",
Computer Station (E1M7),Blue keycard,26,"Blue keycard","On the ledge of docks",
Computer Station (E1M7),Red keycard,27,"Red keycard","At window over seeing docks",
Computer Station (E1M7),Chainsaw,53,"Chainsaw","""8"" room",
Computer Station (E1M7),Shotgun,87,"Shotgun","Near exit, beside switch that open last area",
Computer Station (E1M7),Shotgun,122,"Shotgun","At spawn",
Computer Station (E1M7),Rocket launcher,309,"Rocket launcher","Computers mezzanine",
Computer Station (E1M7),Armor,310,"Armor","spawn, front, midway to the stairs",
Computer Station (E1M7),Armor,311,"Armor","Donnut room",
Computer Station (E1M7),Mega Armor,312,"Mega Armor","Hidden in column, in pool",
Computer Station (E1M7),Backpack,314,"Backpack","Pillar on bridge, jump in pool left. Exit of secret",
Computer Station (E1M7),Partial invisibility,337,"Partial invisibility","Outside",
,,,,
Phobos Anomaly (E1M8),Supercharge,15,"Supercharge","Secret in first stairs to the left",
Phobos Anomaly (E1M8),Shotgun,49,"Shotgun","Left octogonal room",
Phobos Anomaly (E1M8),Shotgun,52,"Shotgun","Bottom right point of star",
Phobos Anomaly (E1M8),Armor,53,"Armor","Middle octogonal room",
Phobos Anomaly (E1M8),Chaingun,65,"Chaingun","Right octogonal room",
Phobos Anomaly (E1M8),Partial invisibility,70,"Partial invisibility","left point of star",
Phobos Anomaly (E1M8),Computer area map,94,"Computer area map","Elevator in front of spawn",
,,,,
Military Base (E1M9),Yellow keycard,13,"Yellow keycard","Spawn then left",
Military Base (E1M9),Red keycard,20,"Red keycard","Yellow corner, trap item",
Military Base (E1M9),Chaingun,87,"Chaingun","Secret yellow bypass passage",
Military Base (E1M9),Armor,139,"Armor","Bottom area with 3 high pillars",
Military Base (E1M9),Rocket launcher,172,"Rocket launcher","Pentagram",
Military Base (E1M9),Blue keycard,188,"Blue keycard","spawn then right. Locked pillard/room",
Military Base (E1M9),Backpack,222,"Backpack","Platforming,fourth pillar",
Military Base (E1M9),Shotgun,223,"Shotgun","Platforming, third pillar",
Military Base (E1M9),Chainsaw,225,"Chainsaw","Platforming, fith pillar",
,,,,
Deimos Anomaly (E2M1),Plasma gun,44,"Plasma gun","Dark room secret area",
Deimos Anomaly (E2M1),Blue keycard,51,"Blue keycard","Lookout tower thing overlooking the horseshoe section",
Deimos Anomaly (E2M1),Shotgun,54,"Shotgun","Devil's triangle?",
Deimos Anomaly (E2M1),Armor,57,"Armor","On a square in the blood river",
Deimos Anomaly (E2M1),Red keycard,83,"Red keycard","Secret corridor openned by the switch coming out of floor",
Deimos Anomaly (E2M1),Computer area map,84,"Computer area map","Red door room, right",
Deimos Anomaly (E2M1),Mega Armor,86,"Mega Armor","Red door room left",
Deimos Anomaly (E2M1),Shotgun,99,"Shotgun","At spawn",
,,,,
Containment Area (E2M2),Chaingun,8,"Chaingun","Pillar in yellow area with nukage surounding it",
Containment Area (E2M2),Armor,9,"Armor","Tucked inside a bunch of crate maze",
Containment Area (E2M2),Armor,20,"Armor","At spawn, second",
Containment Area (E2M2),Backpack,66,"Backpack","At the end of the 3 elongated blue chambers",
Containment Area (E2M2),Supercharge,80,"","Elevator that goes down when going into light (Death logic)",
Containment Area (E2M2),Chainsaw,81,"Chainsaw","In the secret under a crusher",
Containment Area (E2M2),Armor,100,"Armor","In the room before the exit area",
Containment Area (E2M2),Computer area map,109,"Computer area map","4 secret deep.",
Containment Area (E2M2),Mega Armor,125,"Mega Armor","On a shelve in the wall",
Containment Area (E2M2),Plasma gun,127,"Plasma gun","On top of a elevator in center of the room, kind of computer room.",
Containment Area (E2M2),Rocket launcher,138,"Rocket launcher","Middle ""Secret"" room in the yellow area",
